강좌명,운영기관명,구,교육대상구분,카테고리,홈페이지주소
AI블루: 사람들은 어떤 마음으로 AI를 경험하는가,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
무지한스승의만남 프리뷰 아트?바스키아 스터디 모임,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교] 11월담 K팝 속 우리미술,경기도 수원시평생학습관,팔달구,시니어,예술/문화,http://learning.suwon.go.kr
우리들교실 시니어 컴퓨터 교실 Ⅱ,경기도 수원시평생학습관,팔달구,시니어,디지털/영상,http://learning.suwon.go.kr
유전생명공학 : 먹거리부터 의약품까지,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교] 2025년 결산  뭐라도하는밤에 초대합니다.,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
25년 하반기 클래식기타 연주회(경기기타오케스트라),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
(온라인)수원시평생학습관 2026년 프로그램 설명회,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
[25년 4분기 문화초대석]클래식기타(강좌 종강일 초대),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
무지한스승의만남 - 버킷리스트&습관 만들기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
지식큐레이터 강양구 기자의 2025년 올해의 책,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
수원시평생학습관 2026년 프로그램 설명회(대면),경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
[오픈데이 북토크]여자 둘의 읽고 쓰고 듣고 말하는 삶,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
여러분의 목적은 재미있는 시간을 보내는 것입니다: 독서+ 에세이 쓰기+ SF+ 보드게임,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[수원시평생학습축제]나무트레이 만들기_1차시,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
AI시대 노동의 지각 변동 : 감정 노동을 중심으로,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[수원시 신중년 인생이모작 지원센터]와 함께하는 생애설계상담(일자리상담) 11/19(화),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
글쓰기를 위하여,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
베이시스트 정수민 공연 - Lament,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
나를 이해하는 시간 에니어그램(성격유형검사) 6기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
영화로 만나는 돌봄과 인권,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[12월 11일] 지능로봇리빙랩 로봇&드론 일일체험,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
계속 살아가는 사람들 - 싱어송라이터 정밀아 공연,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
디지털문해 강사 역량강화 교육과 워크숍,경기도 수원시평생학습관,팔달구,성인,디지털/영상,http://learning.suwon.go.kr
나를 이해하는 시간 에니어그램(성격유형검사) 5기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
다문화사회의 음영+ 차별 구조 속 이주노동자,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
미래를 먼저 경험했습니다 - 아프간 난민과 함께 한 울산의 1년,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
언어를 횡단하며 살아가는 삶: 영어+ 일본어+ 한국어를 넘어다니기,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
쓱~ 읽고+ 싹 이해하는 문해력 트레이닝,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[11월 27일] 지능로봇리빙랩 로봇&드론 일일체험,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[기관협력] 감정돌봄- 우울+ 불안+ 분노 다스리기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
소설의 음계+ 삶의 사계,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
나를 이해하는 시간 에니어그램(성격유형검사) 4기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
양육자가 알아야 할 성교육 첫걸음,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[11월 월담] 수원팔색길과 함께하는 감성여행,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[11월 20일] 지능로봇리빙랩 로봇&드론 일일체험,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[수원시평생학습축제]나무트레이 만들기_2차시,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
[우리들교실] 창의 전래놀이,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[우리들교실] 여행& 인물 스케치 교실,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[장애청년] 어깨동무 경제교실,경기도 수원시평생학습관,팔달구,기타,기타,http://learning.suwon.go.kr
[우리들교실] 시니어 컴퓨터 교실,경기도 수원시평생학습관,팔달구,시니어,디지털/영상,http://learning.suwon.go.kr
손희정의 문화 비평 : 응원봉 광장 이후,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[액티브시티어아카데미] 뭐라도학교 입문과정,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
드론 입문자를 위한 기초 이론 교육,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
CARLA 시뮬레이터를 이용한 자율주행 실습,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]명화감상의 즐거움2 : 르네상스와 바로크,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
강유원의 우리시대 사상사로 읽는 원전,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[서종남교수의 문학아카데미] 오후반- 행복한 글쓰기 프로젝트 ON,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[서종남교수의 문학아카데미] 오전반- 행복한 글쓰기 프로젝트 ON,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[우리들교실] 쉘위훌라 건강댄스,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[우리들교실] 아랑고고장구 & 민요,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교] 2024년 결산 뭐라도하는밤,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
2024년 송년음악회(경기클래식 기타 연합연주회),경기도 수원시평생학습관,팔달구,전체,예술/문화,http://learning.suwon.go.kr
지식큐레이터 강양구 기자의 2024년 올해의 책,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
월간 강양구 : 우리시대 과학 읽기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[1월 월담] 100세시대 인생2막 행복놀이터,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]미술과 친해지기 : 그리스로마 조각부터,경기도 수원시평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
채운의 개념으로 읽는 철학,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]감성융합 원예테라피 : 꽃예술문화사 시즌3,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]유투공 : 스피치 훈련,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]북토크 : 경제도서 같이 읽기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]짧은 소설 긴 수다 시즌9,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
장석준과 세계 읽기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]명리학과 동의보감으로 배우는 인문학 : 자연의 이치에 맞게 잘 사는 법,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]단편낭독 1월 : 조이스 캐롤 오츠,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[원데이클래스]나무 다이어리 만들기(오후),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[원데이클래스]나무 다이어리 만들기(오전),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]화목낭독 : 그리스 로마 에세이,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"한글 서예 쓰기-경호체, 사경서예(1/16 10시부터 접수가능)",경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]나 자신을 마주하는 안식년 : 제 2의 인생을 위하여,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
강유원의 옥스포드 세계사 읽기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]단편낭독 2월 : 올가 토카르추크,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]함께 공부하는 한자&고사성어(2월),경기도 수원시평생학습관,팔달구,성인,학습/진로,http://learning.suwon.go.kr
[언제든학교]조향사와 함께하는 향수 이야기 2 : 나의 향기 찾기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]쉽고 재미있는 시니어 건강체조&레크리에이션,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[제4회 영화로운 시네마_경계를 넘어서] 4일차 10:00_애니멀 킹덤(15세 관람가),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[제4회 영화로운 시네마_경계를 넘어서] 4일차 19:00_구제역에서 살아 돌아온 돼지(15세 관람가),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]그림책으로 성찰하는 일과 삶,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
