강좌명,운영기관명,구,교육대상구분,카테고리,홈페이지주소
[언제든학교]똑똑한 사춘기 관리법,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
행복한 부모+ 행복한 자녀,경기도 수원시글로벌평생학습관,팔달구,기타,기타,http://learning.suwon.go.kr
스트레스 타파 마음건강 찾기,경기도 수원시글로벌평생학습관,팔달구,기타,기타,http://learning.suwon.go.kr
마키아벨리<군주론>,경기도 수원시글로벌평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
유튜브 리터러시-슬기로운 유튜브 생활,경기도 수원시글로벌평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
[역량강화1]숏폼의 시대+ 영상으로 말하다,경기도 수원시글로벌평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
몸 : 그 신비하고도 괴물스러운,경기도 수원시글로벌평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
인문정신으로 듣는 대중음악,경기도 수원시글로벌평생학습관,팔달구,전체,예술/문화,http://learning.suwon.go.kr
인문학은 무엇을 제시할 수 있을까?,경기도 수원시글로벌평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
월담: 치매예방을 위한 삶의 방법,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
유튜브 시민기획단 1기 오리엔테이션,경기도 수원시글로벌평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
탄소중립에 대해 배우고 보드게임으로 완성배드코이,경기도 수원시글로벌평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
한나아렌트의 인간의 조건 읽기,경기도 수원시글로벌평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
디지털 문해교육,경기도 수원시글로벌평생학습관,팔달구,어르신,디지털/영상,http://learning.suwon.go.kr
월간고전- 야콥 폰 윅스퀼+,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
부모 인문학 : 자녀에게 무엇을 알려주어야 하는가,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
왜 공부하지 않는가? 핍진성에 깨어진 세계에서 공부의 쓸모에 대한 근본적 질문,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
[제3회 영화로운 시네마] 여름+ 마음을 반납해 주세요,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
읽고 쓰며 나를 확장하기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
근대 주인공 - 깊이 읽기와 독자의 귀환,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]수제 밀크티 클래스,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
월간예술 - 재난 : 폐허 속에서 살아가기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
「엄마라는 이상한 세계」 북토크,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교]8월 월담:인생2막 시낭송가 되기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
예술로 친환경 하기 : 폐 병뚜껑을 녹여서 굳힌 플라스틱 키링만들기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
세계정원 - 나는 가드너입니다. [대면강좌],경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
일상생활 속 제로웨이스트 설거지바 만들기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[주간인문] 사회지리학(1),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
공공을 위한 시민인문학,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
아무튼+ 현수동 : 당신은 어떤 동네에서 살고 싶나요?,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[역량강화2]디지털콘텐츠 공방-미리캔버스,경기도 수원시평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
[세계시민교육] 이주민을 위한 글로벌 시민리더 아카데미 1기 - 심화과정,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]단편낭독 8월: 허먼 멜빌,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]여행의 정수 시즌 4 : 시 낭독 여행,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[프로젝트] 스툴 만들기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]원예힐링 시즌 2 : 꽃예술문화사(만들기),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[우리들교실] 여행&인물스케치,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[프로젝트] 책갈피 만들기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
유튜브로 말걸기-글쓰기 실전 쓰기+ 읽기+ 나누기,경기도 수원시평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
AI시대 우리가 읽고 쓰는 이유,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
월간고전- 버지니아 울프+ (솔출판사),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
유튜브로 말걸기-과학기술과 사회+ 그리고 SF,경기도 수원시평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
「무정형의 삶」 북토크,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교]9월 월담:화성성곽길에서 정조대왕을 만나다,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
버려지는 양말목에 가치를 더하는 새활용 안마봉 만들기(3분기),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
글쓰기의 대중화 시대의 의미 - 안목있는 독자되기와 문해력,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
「해방의 밤」 북토크,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]쉽게 배우는 고사성어 시즌2,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]동양인문학: 도덕경과 사기로 만나는 인생방법론 시즌2,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[기관협력] 학부모 멘탈코칭 교실,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]식물과 정원과 삶,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
문명 전체가 직면한 문제 : 우리는 어디서 와서 어디로 가는가,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
모든 단어에는 이야기가 있다 - 독일어 단어를 통해 본 한국 사회의 가치와 지향,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]뇌과학으로 알아보는 똑똑한 자녀교육&양육,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
누군가 곁에 있다고(사전읽기모임),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]짧은 소설 긴 수다 시즌8,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]유투공으로 시작하는 경제공부 2,경기도 수원시평생학습관,팔달구,성인,학습/진로,http://learning.suwon.go.kr
[기관협력] 어깨동무 경제교실 - 장애청년,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[우리들교실] 1:1 컴퓨터교실,경기도 수원시평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
[우리들교실] 민요와 고고장구,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
누구나 쉽게 배우는 온비드 공매(오후),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]조향사와 함께하는 향수만들기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]난처한 경제이야기 독서토론,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]화목낭독: 플라톤 전집1,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]논알콜 하이볼 집에서 즐기기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
난세를 무사히 건너는 법,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
다극 세계의 변화에서 한궁이 가야할 길,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
청소년 멘탈코칭 지역활동가 양성과정 7기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
「어나더 경제사3」 북토크,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
외로움은 어떻게 민주주의를 위협하는가?,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[스피치]힐링스피치,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
인터뷰 글쓰기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
대중음악의 신화를 만나다(이문세),경기도 수원시평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
프란츠 카프카+ <실종자>,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
생명과학의 쟁점들,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
정치(politics)란 무엇인가?,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[뭐라도학교] 월담 2월,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
심층적으로 이야기를 읽기: 이야기의 앞뒤에는 무엇이 있을까?,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
복합 위기 시대가 불러온 변화+ 그리고 대안,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
추상으로 가는 길 : 추상화에 대한 오해와 이해,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
「도넛 경제학」 북토크,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
능력주의는 정말로 공정한 것일까?,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
거북이공방 오픈데이,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[유투공] 미술이야기,경기도 수원시글로벌평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
[뭐라도학교] 1:1컴퓨터교실,경기도 수원시글로벌평생학습관,팔달구,어르신,디지털/영상,http://learning.suwon.go.kr
[문화여행] 제주 나 혼자 간다,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
서종남교수의 문학아카데미 오후,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
서종남교수의 문학아카데미 오전,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[서양미술사]난처한 미술이야기3~6,경기도 수원시글로벌평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
[요일낭독_화목 고전 낭독] 일리아스,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
‘좋아요’는 어떻게 지구를 파괴하는가,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[서양미술사] 난처한 미술이야기(독서토론),경기도 수원시평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
시간관리효율화,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
에피쿠로스+ <에피쿠로스 쾌락>,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
스마트폰활용 영상제작교육(전체공직자대상),경기도 수원시글로벌평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
스마트폰활용 영상제작교육(시민협력국대상),경기도 수원시글로벌평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
당신이 집에서 논다는 거짓말,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
칼럼 쓰기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
대중음악의 신화를 만나다(들국화),경기도 수원시평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
자연은 어떻게 풍경이 되었는가,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[뭐라도학교] 월담 3월,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
SF 고전으로 본 21세기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
수사학(rhetoric)이란 무엇인가?,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
프리모 레비+ <이것이 인간인가>,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
배드코이 탄소중립에 대해 배우고 보드게임으로 완성,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
기억력 강화를 통한 건강한 뇌 만들기,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
금융복지: 굿바이 부채탈출,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[뭐라도학교] 월담 4월,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
힐링에세이+ 숲(영흥수목원),경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[단편낭독_4월] 2023김승옥 문학상 수상작품집,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
아리스토텔레스 <시학>강독,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
수원시민을 위한 학부모 멘탈코칭,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[단편소설 인문학]짧은 소설+ 긴 수다 6,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
함께 시작해봐요+ 나만의 글쓰기,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[뭐라도학교]쉘위훌라,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
[스피치]힐링스피치2,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
월간음악 1970년대의 음악과 음악가들,경기도 수원시글로벌평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
이주민을 위한 글로벌 시민리더아카데미 1기,경기도 수원시글로벌평생학습관,팔달구,기타,기타,http://learning.suwon.go.kr
[뭐라도학교]여행&인물스케치,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
[요일낭독_금요 역사 낭독]헤로도토스,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[뭐라도학교]사진과 함께하는 세계여행,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
시민기획강좌 시간관리 효율화 시즌2,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
모스 <증여론>,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[뭐라도학교] 월담 6월,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
버려지는 양말목에 가치를 더하는 새활용 안마봉 만들기,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
예술로 친환경하기: 아크릴화,경기도 수원시글로벌평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
효과적인 스트레스 관리법,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
[단편낭독_6월] 미래의 조각(20224년 현대문학상 수상 소설집,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
월간음악 1990년대의 음악과 음악가들,경기도 수원시글로벌평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
고도를 기라디며 - 텍스트 읽기,경기도 수원시글로벌평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
세계 끝의 버섯,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
언제든학교 기획단 양성과정 6기,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
메리 셸리 <프랑켄슈타인>,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
탄소중립포인트 가입 일상 속 탄소중립 실천이 혜택으로,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[뭐라도학교] 월담 5월,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
월간음악 1980년대의 음악과 음악가들,경기도 수원시글로벌평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
[단편낭독_5월] 에드거 앨런 포 단편선,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
축소되는 세계,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
나침반 기획강좌 <감각>,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
시민기획강좌 동양인문학: 도덕경과 사기로 만나는 인생방법론,경기도 수원시글로벌평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
1:1 컴퓨터 교실,경기도 수원시글로벌평생학습관,팔달구,어르신,디지털/영상,http://learning.suwon.go.kr
시민기획강좌 힐링스피치 시즌3,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
시민기획강좌 새롭게 읽는 서양 미술사: 난처한 미술이야기7,경기도 수원시글로벌평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
시민기획강좌 요일낭독(화목): 펠로폰네소스 전쟁사,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
행복한 글쓰기 프로젝트 ON(오후반),경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
행복한 글쓰기 프로젝트 ON(오전반),경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
예술로 친환경하기: 아크릴화,경기도 수원시글로벌평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
사진과 함께하는 세계여행,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
시민기획강좌 힐링에세이+ 숲(여름),경기도 수원시글로벌평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
시민기획강좌 단편낭독 7월: 나사니엘 호손 단편선,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
시민기획강좌 나를 찾고 키우는+ 엄마의 안식년,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
시민기획강좌 새롭게 내 몸을 만나는 시간: 혈자리로 건강찾기,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
쉴위훌라,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
전래놀이교실,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
시민기획강좌 명화감상의 즐거움,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
여행&인물스케치,경기도 수원시글로벌평생학습관,팔달구,어르신,기타,http://learning.suwon.go.kr
글쓰기 심화반 나를 돌보는 내면 글쓰기,경기도 수원시글로벌평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
시민기획강좌 교육연극으로 만나는 (나이)듦과 삶(의 완성),경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
시민기획강좌 유투공으로 시작하는 경제공부,경기도 수원시글로벌평생학습관,팔달구,성인,학습/진로,http://learning.suwon.go.kr
시민기획강좌 짧은 소설 긴 수다 시즌7,경기도 수원시글로벌평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
청소년 마음톡 캠프,경기도 수원시글로벌평생학습관,팔달구,청소년,기타,http://learning.suwon.go.kr
대중음악의 신화를 만나다(조용필),경기도 수원시평생학습관,팔달구,전체,예술/문화,http://learning.suwon.go.kr
필동 임면수+ 수원의 독립운동과 교육운동,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
나쓰메 소세키+ <문>,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[단편소설 인문학]짧은 소설+ 긴 수다 5,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
인공지능(AI)와 삶,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
변증법(dialectic)이란 무엇인가?,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
고려거란전쟁사,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
월간경제: 2024년 세계 경제는?,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[요일낭독_토요아침] 자기계발수업,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
망치를 든 고생물학자의 공룡이야기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교] 월담 1월,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
엄마의 독서,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
유튜브는 책을 집어 삼킬것인가?,경기도 수원시평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
[문화여행]여행의 정수+ 수원을 만나다,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
혼돈의 세계+ 어디로 가는가?,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
예술에서 종교적인 것에 관하여 : 초월성의 형상화,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교]쉘위훌라,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[미술과친해지기]테마로 본 그림이야기,경기도 수원시평생학습관,팔달구,전체,예술/문화,http://learning.suwon.go.kr
청소년 공부멘탈코칭 교실,경기도 수원시평생학습관,팔달구,청소년,학습/진로,http://learning.suwon.go.kr
어깨동무 경제교실-장애청년 경제교실,경기도 수원시평생학습관,팔달구,청소년,기타,http://learning.suwon.go.kr
[서양미술사] 유투공 미술이야기,경기도 수원시평생학습관,팔달구,전체,예술/문화,http://learning.suwon.go.kr
디지털 기술은 어떻게 격차를 만드는가?,경기도 수원시평생학습관,팔달구,성인,디지털/영상,http://learning.suwon.go.kr
[단편소설낭독]1~3월,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
행복한 글쓰기 프로젝트 ON 오후,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
행복한 글쓰기 프로젝트 ON 오전,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[요일낭독_화목아침] 해밀턴의 그리스로마신화,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[요일낭독_월수아침] 긴 여행의 도중+ 패트릭과 함께 읽기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교]여행&인물스케치,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[뭐라도학교]사진과 함께하는 세계여행,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
대나무로 만드는 일상의 물건 : 네모눈바구니 만들기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
2024년 평생학습 모니터링단 교육,경기도 수원시평생학습관,팔달구,성인,학습/진로,http://learning.suwon.go.kr
월간예술 - 타자 : 무한히 먼+ 무한히 가까운,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
「왜 우리는 매일 거대 도시로 향하는가」북토크,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]단편낭독 9월: 헨리 제임스,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
「손상된 행성에서 더 나은 파국을 상상하기」 북토크,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]원예힐링: 긍정심리학으로 나만의 행복찾기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[프로젝트] 내가 꿈꾸는 공방,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[학부모특강]미래사회의 변화와 학부모의 자녀교육 지혜,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
자기 이야기는 어떻게 콘텐츠가 되는가?,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
유튜브로 말걸기-돈의 얼굴,경기도 수원시평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
「책방에 모여 글쓰기를 시작했다」 북토크,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
미국 대선을 앞둔 세계+ 민주주의는 어디로?,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]실천하는 제로웨이스트 클래스,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]힐링에세이 숲+ 가을(영흥수목원),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
에세이 쓰기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
2025년 온라인 독서모임「오늘도책」 4기(특강)-생각회로 독서법,경기도교육청중앙도서관,장안구,중등1~3학년,기타,https://lib.goe.go.kr/gg/index.do
2025년 온라인 독서모임「오늘도책」 4기(특강)-오늘도책 미리보기,경기도교육청중앙도서관,장안구,초등4~6학년,기타,https://lib.goe.go.kr/gg/index.do
2025년 온라인 독서모임「오늘도책」 4기,경기도교육청중앙도서관,장안구,학부모+지역주민,기타,https://lib.goe.go.kr/gg/index.do
2025년 온라인 독서모임「오늘도책」 4기,경기도교육청중앙도서관,장안구,중등1~3학년,기타,https://lib.goe.go.kr/gg/index.do
2025년 온라인 독서모임「오늘도책」 4기,경기도교육청중앙도서관,장안구,중등1~3학년,기타,https://lib.goe.go.kr/gg/index.do
2025년 온라인 독서모임「오늘도책」 4기,경기도교육청중앙도서관,장안구,초등4~6학년,기타,https://lib.goe.go.kr/gg/index.do
"책에서 멀어진 내 아이, 책으로 돌아오기까지",경기도교육청중앙도서관,장안구,학부모+지역주민,기타,https://lib.goe.go.kr/gg/index.do
처음 만나는 그림책 놀이형 독서교육 전문가 과정(2급),경기도교육청중앙도서관,장안구,학부모+지역주민,기타,https://lib.goe.go.kr/gg/index.do
2025년 온라인 독서모임「오늘도책」 3기,경기도교육청중앙도서관,장안구,학부모+지역주민,기타,https://lib.goe.go.kr/gg/index.do
2025년 온라인 독서모임「오늘도책」 3기,경기도교육청중앙도서관,장안구,중등1~3학년,기타,https://lib.goe.go.kr/gg/index.do
2025년 온라인 독서모임「오늘도책」 3기,경기도교육청중앙도서관,장안구,중등1~3학년,기타,https://lib.goe.go.kr/gg/index.do
2025년 온라인 독서모임「오늘도책」 3기,경기도교육청중앙도서관,장안구,초등4~6학년,기타,https://lib.goe.go.kr/gg/index.do
[초4~5]늘푸른독서회,경기도교육청중앙도서관,장안구,초등4~5학년,기타,https://lib.goe.go.kr/gg/index.do
[초2~3]해맑은독서회,경기도교육청중앙도서관,장안구,초등2~3학년,기타,https://lib.goe.go.kr/gg/index.do
"2025년 온라인 독서모임「오늘도책」 4기(특강)-잘 하고 싶다, 북클럽",경기도교육청중앙도서관,장안구,학부모+지역주민,기타,https://lib.goe.go.kr/gg/index.do
